Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours
Togo,Africa,26024,314.348,88,1.063,13,242,2.923,2,0.024,0
Benin,Africa,24749,204.146,189,1.559,0,161,1.328,0,0,0
Haiti,Americas,23773,208.489,367,3.219,0,662,5.806,4,0.035,0
Bahamas,Americas,22259,5660.353,167,42.467,0,642,163.257,16,4.069,0
Seychelles,Africa,22213,22586.352,142,144.387,39,114,115.916,0,0,0
Somalia,Eastern Mediterranean,21998,138.411,729,4.587,0,1208,7.601,28,0.176,0
Lesotho,Africa,21600,1008.286,43,2.007,2,657,30.669,2,0.093,0
Mayotte,Africa,20497,7513.15,33,12.096,0,182,66.712,0,0,0
Burundi,Africa,20016,168.332,149,1.253,28,14,0.118,0,0,0
Timor-Leste,South-East Asia,19785,1500.631,36,2.73,0,121,9.177,1,0.076,0
Mauritius,Africa,17586,1382.799,635,49.93,170,164,12.895,19,1.494,4
Tajikistan,Europe,17486,183.337,0,0,0,125,1.311,0,0,0
Congo,Africa,17323,313.931,915,16.582,455,258,4.676,19,0.344,9
Curaçao,Americas,17027,10376.433,72,43.878,15,173,105.428,1,0.609,0
Barbados,Americas,16033,5579.121,2480,862.984,445,143,49.761,23,8.003,4
Mali,Africa,15925,78.639,227,1.121,45,561,2.77,3,0.015,2
Aruba,Americas,15848,14843.677,102,95.536,33,171,160.163,1,0.937,0
Andorra,Europe,15462,20011.648,80,103.54,37,130,168.252,0,0,0
Burkina Faso,Africa,14793,70.769,0,0,0,214,1.024,0,0,0
Guam,Western Pacific,14577,8636.943,321,190.194,58,232,137.461,6,3.555,2
Djibouti,Eastern Mediterranean,13461,1362.449,38,3.846,0,181,18.32,0,0,0
Iceland,Europe,13313,3656.072,538,147.748,90,33,9.063,0,0,0
Equatorial Guinea,Africa,13236,943.417,139,9.907,0,163,11.618,0,0,0
Nicaragua,Americas,12866,194.217,317,4.785,0,208,3.14,1,0.015,0
Brunei Darussalam,Western Pacific,12710,2905.282,1324,302.643,115,53,12.115,2,0.457,0
Saint Lucia,Americas,12465,6788.217,185,100.748,32,250,136.146,13,7.08,0
South Sudan,Africa,12348,110.312,78,0.697,21,133,1.188,0,0,0
Central African Republic,Africa,11518,238.479,40,0.828,0,100,2.07,0,0,0
Jersey,Europe,10831,10047.683,298,276.448,59,80,74.214,0,0,0
New Caledonia,Western Pacific,10768,3771.655,555,194.397,81,263,92.12,18,6.305,2
Gambia,Africa,9963,412.262,17,0.703,1,340,14.069,1,0.041,0
Yemen,Eastern Mediterranean,9728,32.616,132,0.443,17,1868,6.263,47,0.158,10
Isle of Man,Europe,9420,11078.182,589,692.68,93,57,67.034,1,1.176,0
United States Virgin Islands,Americas,7154,6850.85,55,52.669,9,81,77.568,3,2.873,1
Eritrea,Africa,6800,191.743,20,0.564,2,45,1.269,0,0,0
Sierra Leone,Africa,6397,80.193,0,0,0,121,1.517,0,0,0
Niger,Africa,6300,26.026,97,0.401,40,211,0.872,6,0.025,3
Guinea-Bissau,Africa,6133,311.636,2,0.102,0,141,7.165,0,0,0
Gibraltar,Europe,5919,17568.49,116,344.306,15,98,290.879,0,0,0
Grenada,Americas,5824,5175.831,48,42.658,6,197,175.075,4,3.555,1
Liberia,Africa,5812,114.914,1,0.02,0,287,5.675,0,0,0
New Zealand,Western Pacific,5635,116.855,679,14.081,96,28,0.581,0,0,0
Bermuda,Americas,5625,9032.807,32,51.387,0,98,157.372,3,4.817,0
San Marino,Europe,5540,16323.885,50,147.327,6,92,271.083,1,2.947,0
Chad,Africa,5069,30.86,0,0,0,174,1.059,0,0,0
Saint Vincent and the Grenadines,Americas,4905,4421.309,268,241.572,45,64,57.689,10,9.014,1
Dominica,Americas,4691,6516.092,325,451.445,32,31,43.061,1,1.389,1
Sint Maarten,Americas,4484,10456.602,28,65.295,4,75,174.899,1,2.332,0
Comoros,Africa,4239,487.465,42,4.83,6,147,16.904,0,0,0
Antigua and Barbuda,Americas,4031,4116.247,92,93.946,0,99,101.094,2,2.042,0
Saint Martin,Americas,3920,10139.942,32,82.775,0,37,95.709,0,0,0
Sao Tome and Principe,Africa,3705,1690.553,18,8.213,0,56,25.552,0,0,0
Liechtenstein,Europe,3653,9427.827,28,72.264,0,58,149.689,0,0,0
Monaco,Europe,3404,8673.937,22,56.06,5,36,91.734,1,2.548,0
Turks and Caicos Islands,Americas,2961,7647.606,25,64.569,5,23,59.404,0,0,0
British Virgin Islands,Americas,2725,9012.137,0,0,0,37,122.367,0,0,0
Saint Kitts and Nevis,Americas,2646,4974.432,57,107.159,9,21,39.48,0,0,0
Bhutan,South-East Asia,2621,339.68,4,0.518,1,3,0.389,0,0,0
Bonaire,Americas,2363,11298.111,49,234.282,12,19,90.844,0,0,0
Guernsey,Europe,2074,3217.1,144,223.367,19,23,35.677,1,1.551,1
Faroe Islands,Europe,1846,3777.755,462,945.462,68,2,4.093,0,0,0
Saint Barthélemy,Americas,1659,16783.005,0,0,0,4,40.465,0,0,0
Cayman Islands,Americas,1279,1946.135,184,279.976,0,2,3.043,0,0,0
Anguilla,Americas,859,5725.903,161,1073.19,0,1,6.666,0,0,0
Greenland,Europe,779,1372.155,79,139.153,7,0,0,0,0,0
Other,Other,764,,0,,0,13,,0,,0
Wallis and Futuna,Western Pacific,454,4036.991,0,0,0,7,62.244,0,0,0
Northern Mariana Islands (Commonwealth of the),Western Pacific,291,505.586,2,3.475,0,3,5.212,0,0,0
Falkland Islands (Malvinas),Americas,69,1981.051,0,0,0,0,0,0,0,0
Montserrat,Americas,41,820.164,0,0,0,1,20.004,0,0,0
Saint Pierre and Miquelon,Americas,32,552.2,0,0,0,0,0,0,0,0
Sint Eustatius,Americas,28,892.004,0,0,0,0,0,0,0,0
Holy See,Europe,26,3213.844,0,0,0,0,0,0,0,0
Solomon Islands,Western Pacific,20,2.912,0,0,0,0,0,0,0,0
Saba,Americas,11,569.064,0,0,0,0,0,0,0,0
Palau,Western Pacific,8,44.218,0,0,0,0,0,0,0,0
Vanuatu,Western Pacific,5,1.628,2,0.651,0,0,0,0,0,0
American Samoa,Western Pacific,4,7.247,0,0,0,0,0,0,0,0
Marshall Islands,Western Pacific,4,6.757,0,0,0,0,0,0,0,0
Samoa,Western Pacific,1,0.504,0,0,0,0,0,0,0,0
Cook Islands,Western Pacific,0,0,0,0,0,0,0,0,0,0
Democratic People's Republic of Korea,South-East Asia,0,0,0,0,0,0,0,0,0,0
Kiribati,Western Pacific,0,0,0,0,0,0,0,0,0,0
Micronesia (Federated States of),Western Pacific,0,0,0,0,0,0,0,0,0,0
Nauru,Western Pacific,0,0,0,0,0,0,0,0,0,0
Niue,Western Pacific,0,0,0,0,0,0,0,0,0,0
Pitcairn Islands,Western Pacific,0,0,0,0,0,0,0,0,0,0
Saint Helena,Africa,0,0,0,0,0,0,0,0,0,0
Tokelau,Western Pacific,0,0,0,0,0,0,0,0,0,0
Tonga,Western Pacific,0,0,0,0,0,0,0,0,0,0
Turkmenistan,Europe,0,0,0,0,0,0,0,0,0,0
Tuvalu,Western Pacific,0,0,0,0,0,0,0,0,0,0
